
time,npos,epos,alt,phi,theta,psi,vel,alpha,beta,p,q,r,nx,ny,nz,mach,qbar,ps,thrust,ele,ail,rud

<<<<<<< Updated upstream
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,2120.62145,-2.46069, 0.00000,-0.00000,
 0.10000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,2120.62145,-2.46069, 0.00000,-0.00000,
 0.20000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,2120.62145,-2.46069, 0.00000,-0.00000,
 0.30000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,2120.62145,-2.46069, 0.00000,-0.00000,
 0.40000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,2120.62145,-2.46069, 0.00000,-0.00000,
 0.50000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,2120.62145,-2.46069, 0.00000,-0.00000,
 0.60000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,2120.62145,-2.46069, 0.00000,-0.00000,
 0.70000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,2120.62145,-2.46069, 0.00000,-0.00000,
 0.80000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,2120.62145,-2.46069, 0.00000,-0.00000,
 0.90000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,2120.62145,-2.46069, 0.00000,-0.00000,
 1.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00005, 0.00000, 0.00028, 0.00000, 0.00000, 0.00000,-0.00049,2120.62145, 2.53931, 0.00000,-0.00000,
 1.10000, 0.00088,-0.00000, 0.00604,-0.00000,-0.06931,-0.00000, 0.02398,-0.08558, 0.00000,-0.00000,-1.79670,-0.00000, 0.01505,-0.00000, 0.04538, 0.00002, 0.01793,-0.00029,-0.19079,2120.62145, 2.53931, 0.00000,-0.00000,
 1.20000, 0.00580,-0.00000, 0.02381,-0.00000,-0.38636,-0.00000, 0.07979,-0.40524, 0.00000,-0.00000,-4.55378,-0.00000, 0.01241,-0.00000,-0.04435, 0.00008, 0.05964,-0.00115,-0.28773,2120.62145, 2.53931, 0.00000,-0.00000,
 1.30000, 0.01811,-0.00000, 0.02645,-0.00000,-0.97452,-0.00000, 0.17406,-0.95324, 0.00000,-0.00000,-7.16453,-0.00000, 0.00573,-0.00000,-0.18139, 0.00016, 0.13026,-0.00127,-0.40112,2120.62145, 2.53931, 0.00000,-0.00000,
 1.40000, 0.04240,-0.00000,-0.02972,-0.00000,-1.80927,-0.00000, 0.32191,-1.69157, 0.00000,-0.00000,-9.47841,-0.00000,-0.00284,-0.00000,-0.34758, 0.00030, 0.24138, 0.00143,-0.53949,2120.62145, 2.53931, 0.00000,-0.00000,
 1.50000, 0.08476,-0.00000,-0.19801,-0.00000,-2.85969,-0.00000, 0.53757,-2.58020, 0.00000,-0.00000,-11.47748,-0.00000,-0.01268,-0.00000,-0.53441, 0.00051, 0.40400, 0.00954,-0.69836,2120.62145, 2.53931, 0.00000,-0.00000,
 1.60000, 0.15258,-0.00000,-0.53842,-0.00000,-4.09442,-0.00000, 0.83317,-3.58141, 0.00000,-0.00000,-13.16627,-0.00000,-0.02339,-0.00000,-0.73522, 0.00079, 0.62755, 0.02595,-0.87200,2120.62145, 2.53931, 0.00000,-0.00000,
 1.70000, 0.25439,-0.00000,-1.11545,-0.00000,-5.48298,-0.00000, 1.21864,-4.66066, 0.00000,-0.00000,-14.55635,-0.00000,-0.03467,-0.00000,-0.94415, 0.00115, 0.91989, 0.05376,-1.05500,2120.62145, 2.53931, 0.00000,-0.00000,
